#queryIndex	queryItem	stringId	preferredName	annotation
72	DAPK1	9606.ENSP00000386135	DAPK1	Death-associated protein kinase 1; Calcium/calmodulin-dependent serine/threonine kinase involved in multiple cellular signaling pathways that trigger cell survival, apoptosis, and autophagy. Regulates both type I apoptotic and type II autophagic cell deaths signal, depending on the cellular setting. The former is caspase-dependent, while the latter is caspase-independent and is characterized by the accumulation of autophagic vesicles. Phosphorylates PIN1 resulting in inhibition of its catalytic activity, nuclear localization, and cellular function. Phosphorylates TPM1, enhancing stress [...] 
73	DAPK2	9606.ENSP00000261891	DAPK2	Death-associated protein kinase 2; Calcium/calmodulin-dependent serine/threonine kinase involved in multiple cellular signaling pathways that trigger cell survival, apoptosis, and autophagy. Regulates both type I apoptotic and type II autophagic cell death signals, depending on the cellular setting. The former is caspase-dependent, while the latter is caspase-independent and is characterized by the accumulation of autophagic vesicles. Acts as a mediator of anoikis and a suppressor of beta-catenin-dependent anchorage-independent growth of malignant epithelial cells. May play a role in g [...] 
74	DAPK3	9606.ENSP00000442973	DAPK3	Death-associated protein kinase 3; Serine/threonine kinase which is involved in the regulation of apoptosis, autophagy, transcription, translation and actin cytoskeleton reorganization. Involved in the regulation of smooth muscle contraction. Regulates both type I (caspase- dependent) apoptotic and type II (caspase-independent) autophagic cell deaths signal, depending on the cellular setting. Involved in regulation of starvation-induced autophagy. Regulates myosin phosphorylation in both smooth muscle and non-muscle cells. In smooth muscle, regulates myosin either directly by phosphory [...] 
75	DDIT3	9606.ENSP00000448665	DDIT3	DNA damage-inducible transcript 3 protein; Multifunctional transcription factor in ER stress response. Plays an essential role in the response to a wide variety of cell stresses and induces cell cycle arrest and apoptosis in response to ER stress. Plays a dual role both as an inhibitor of CCAAT/enhancer-binding protein (C/EBP) function and as an activator of other genes. Acts as a dominant-negative regulator of C/EBP-induced transcription: dimerizes with members of the C/EBP family, impairs their association with C/EBP binding sites in the promoter regions, and inhibits the expression  [...] 
76	DEPP1	9606.ENSP00000298295	C10orf10	Protein DEPP1; Acts as a critical modulator of FOXO3-induced autophagy via increased cellular ROS
77	DRAM1	9606.ENSP00000258534	DRAM1	DNA damage-regulated autophagy modulator protein 1; Lysosomal modulator of autophagy that plays a central role in p53/TP53-mediated apoptosis. Not involved in p73/TP73- mediated autophagy
78	DRD2	9606.ENSP00000354859	DRD2	D(2) dopamine receptor; Dopamine receptor whose activity is mediated by G proteins which inhibit adenylyl cyclase; Belongs to the G-protein coupled receptor 1 family
79	EEF1A2	9606.ENSP00000217182	EEF1A2	Elongation factor 1-alpha 2; This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis; Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. EF-Tu/EF-1A subfamily
80	EIF2AK4	9606.ENSP00000263791	EIF2AK4	eIF-2-alpha kinase GCN2; Metabolic-stress sensing protein kinase that phosphorylates the alpha subunit of eukaryotic translation initiation factor 2 (eIF-2-alpha/EIF2S1) on 'Ser-52' in response to low amino acid availability. Plays a role as an activator of the integrated stress response (ISR) required for adapatation to amino acid starvation. Converts phosphorylated eIF- 2-alpha/EIF2S1 either to a competitive inhibitor of the translation initiation factor eIF-2B, leading to a global protein synthesis repression, and thus to a reduced overall utilization of amino acids, or to a transla [...] 
81	EIF4G1	9606.ENSP00000416255	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1; Component of the protein complex eIF4F, which is involved in the recognition of the mRNA cap, ATP-dependent unwinding of 5'-terminal secondary structure and recruitment of mRNA to the ribosome; Parkinson disease associated genes
82	EIF4G2	9606.ENSP00000433664	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2; Appears to play a role in the switch from cap-dependent to IRES-mediated translation during mitosis, apoptosis and viral infection. Cleaved by some caspases and viral proteases
83	EIF4G3	9606.ENSP00000383274	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3; Probable component of the protein complex eIF4F, which is involved in the recognition of the mRNA cap, ATP-dependent unwinding of 5'-terminal secondary structure and recruitment of mRNA to the ribosome. Thought to be a functional homolog of EIF4G1
84	EP300	9606.ENSP00000263253	EP300	Histone acetyltransferase p300; Functions as histone acetyltransferase and regulates transcription via chromatin remodeling. Acetylates all four core histones in nucleosomes. Histone acetylation gives an epigenetic tag for transcriptional activation. Mediates cAMP-gene regulation by binding specifically to phosphorylated CREB protein. Mediates acetylation of histone H3 at 'Lys-122' (H3K122ac), a modification that localizes at the surface of the histone octamer and stimulates transcription, possibly by promoting nucleosome instability. Mediates acetylation of histone H3 at 'Lys-27' (H3K [...] 
85	EPG5	9606.ENSP00000282041	EPG5	Ectopic P granules protein 5 homolog; Involved in autophagy. May play a role in a late step of autophagy, such as clearance of autophagosomal cargo
86	EPM2A	9606.ENSP00000356489	EPM2A	Laforin; Plays an important role in preventing glycogen hyperphosphorylation and the formation of insoluble aggregates, via its activity as glycogen phosphatase, and by promoting the ubiquitination of proteins involved in glycogen metabolism via its interaction with the E3 ubiquitin ligase NHLRC1/malin. Shows strong phosphatase activity towards complex carbohydrates in vitro, avoiding glycogen hyperphosphorylation which is associated with reduced branching and formation of insoluble aggregates. Dephosphorylates phosphotyrosine and synthetic substrates, such as para- nitrophenylphosphat [...] 
87	ERN1	9606.ENSP00000401445	ERN1	Serine/threonine-protein kinase/endoribonuclease IRE1; Senses unfolded proteins in the lumen of the endoplasmic reticulum via its N-terminal domain which leads to enzyme auto- activation. The active endoribonuclease domain splices XBP1 mRNA to generate a new C-terminus, converting it into a potent unfolded-protein response transcriptional activator and triggering growth arrest and apoptosis
88	EVA1A	9606.ENSP00000233712	EVA1A	Protein eva-1 homolog A; Acts as a regulator of programmed cell death, mediating both autophagy and apoptosis
89	EXOC4	9606.ENSP00000253861	EXOC4	Exocyst complex component 4; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane
90	EXOC8	9606.ENSP00000355605	EXOC8	Exocyst complex component 8; Component of the exocyst complex involved in the docking of exocytic vesicles with fusion sites on the plasma membrane; Belongs to the EXO84 family
91	FBXL2	9606.ENSP00000417601	FBXL2	F-box/LRR-repeat protein 2; Calcium-activated substrate recognition component of the SCF (SKP1-cullin-F-box protein) E3 ubiquitin-protein ligase complex, SCF(FBXL2), which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. Unlike many F-box proteins, FBXL2 does not seem to target phosphodegron within its substrates but rather calmodulin-binding motifs and is thereby antagonized by calmodulin. This is the case for the cyclins CCND2 and CCND3 which polyubiquitination and subsequent degradation are inhibited by calmodulin. Through CCND2 and CCND3 degrad [...] 
92	FLCN	9606.ENSP00000285071	FLCN	Folliculin; May be a tumor suppressor. May be involved in energy and/or nutrient sensing through the AMPK and mTOR signaling pathways. May regulate phosphorylation of RPS6KB1; DENN/MADD domain containing
93	FOXO1	9606.ENSP00000368880	FOXO1	Forkhead box protein O1; Transcription factor that is the main target of insulin signaling and regulates metabolic homeostasis in response to oxidative stress. Binds to the insulin response element (IRE) with consensus sequence 5'-TT[G/A]TTTTG-3' and the related Daf-16 family binding element (DBE) with consensus sequence 5'- TT[G/A]TTTAC-3'. Activity suppressed by insulin. Main regulator of redox balance and osteoblast numbers and controls bone mass. Orchestrates the endocrine function of the skeleton in regulating glucose metabolism. Acts synergistically with ATF4 to suppress osteocal [...] 
94	FOXO3	9606.ENSP00000385824	FOXO3	Forkhead box protein O3; Transcriptional activator which triggers apoptosis in the absence of survival factors, including neuronal cell death upon oxidative stress. Recognizes and binds to the DNA sequence 5'-[AG]TAAA[TC]A-3'. Participates in post-transcriptional regulation of MYC: following phosphorylation by MAPKAPK5, promotes induction of miR-34b and miR-34c expression, 2 post- transcriptional regulators of MYC that bind to the 3'UTR of MYC transcript and prevent its translation; Forkhead boxes
95	GABARAP	9606.ENSP00000306866	GABARAP	Gamma-aminobutyric acid receptor-associated protein; Ubiquitin-like modifier that plays a role in intracellular transport of GABA(A) receptors and its interaction with the cytoskeleton. Involved in apoptosis. Involved in autophagy. Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation; Belongs to the ATG8 family
96	GABARAPL1	9606.ENSP00000266458	GABARAPL1	Gamma-aminobutyric acid receptor-associated protein-like 1; Ubiquitin-like modifier that increases cell-surface expression of kappa-type opioid receptor through facilitating anterograde intracellular trafficking of the receptor. Involved in formation of autophagosomal vacuoles. Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation; Belongs to the ATG8 family
97	GAPDH	9606.ENSP00000229239	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase; Has both glyceraldehyde-3-phosphate dehydrogenase and nitrosylase activities, thereby playing a role in glycolysis and nuclear functions, respectively. Participates in nuclear events including transcription, RNA transport, DNA replication and apoptosis. Nuclear functions are probably due to the nitrosylase activity that mediates cysteine S-nitrosylation of nuclear target proteins such as SIRT1, HDAC2 and PRKDC. Modulates the organization and assembly of the cytoskeleton. Facilitates the CHP1-dependent microtubule and membrane associations throu [...] 
98	GATA4	9606.ENSP00000334458	GATA4	Transcription factor GATA-4; Transcriptional activator that binds to the consensus sequence 5'-AGATAG-3' and plays a key role in cardiac development and function. In cooperation with TBX5, it binds to cardiac super-enhancers and promotes cardiomyocyte gene expression, while it downregulates endocardial and endothelial gene expression. Involved in bone morphogenetic protein (BMP)-mediated induction of cardiac- specific gene expression. Binds to BMP response element (BMPRE) DNA sequences within cardiac activating regions (By similarity). Acts as a transcriptional activator of ANF in coop [...] 
99	GBA	9606.ENSP00000314508	GBA	Glucosylceramidase beta
100	GOLGA2	9606.ENSP00000416097	GOLGA2	Golgin subfamily A member 2; Peripheral membrane component of the cis-Golgi stack that acts as a membrane skeleton that maintains the structure of the Golgi apparatus, and as a vesicle thether that facilitates vesicle fusion to the Golgi membrane. Together with p115/USO1 and STX5, involved in vesicle tethering and fusion at the cis-Golgi membrane to maintain the stacked and inter-connected structure of the Golgi apparatus. Plays a central role in mitotic Golgi disassembly: phosphorylation at Ser-37 by CDK1 at the onset of mitosis inhibits the interaction with p115/USO1, preventing teth [...] 
101	GPR137	9606.ENSP00000411827	GPR137	Integral membrane protein GPR137; G protein-coupled receptor 137; Belongs to the GPR137 family
102	GPSM1	9606.ENSP00000392828	GPSM1	G-protein-signaling modulator 1; Guanine nucleotide dissociation inhibitor (GDI) which functions as a receptor-independent activator of heterotrimeric G- protein signaling. Keeps G(i/o) alpha subunit in its GDP-bound form thus uncoupling heterotrimeric G-proteins signaling from G protein-coupled receptors. Controls spindle orientation and asymmetric cell fate of cerebral cortical progenitors. May also be involved in macroautophagy in intestinal cells. May play a role in drug addiction; Belongs to the GPSM family
103	GRAMD1A	9606.ENSP00000441032	GRAMD1A	GRAM domain-containing protein 1A; May play a role in tumor progression; GRAM domain containing
104	GSK3B	9606.ENSP00000324806	GSK3B	Glycogen synthase kinase-3 beta; Constitutively active protein kinase that acts as a negative regulator in the hormonal control of glucose homeostasis, Wnt signaling and regulation of transcription factors and microtubules, by phosphorylating and inactivating glycogen synthase (GYS1 or GYS2), EIF2B, CTNNB1/beta-catenin, APC, AXIN1, DPYSL2/CRMP2, JUN, NFATC1/NFATC, MAPT/TAU and MACF1. Requires primed phosphorylation of the majority of its substrates. In skeletal muscle, contributes to insulin regulation of glycogen synthesis by phosphorylating and inhibiting GYS1 activity and hence glyc [...] 
105	GOPC	9606.ENSP00000357484	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein; Plays a role in intracellular protein trafficking and degradation. May regulate CFTR chloride currents and acid-induced ASIC3 currents by modulating cell surface expression of both channels. May also regulate the intracellular trafficking of the ADR1B receptor. May play a role in autophagy. Overexpression results in CFTR intracellular retention and degradation in the lysosomes; PDZ domain containing
106	HAP1	9606.ENSP00000334002	HAP1	Huntingtin-associated protein 1; Originally identified as neuronal protein that specifically associates with HTT/huntingtin and the binding is enhanced by an expanded polyglutamine repeat within HTT possibly affecting HAP1 interaction properties. Both HTT and HAP1 are involved in intracellular trafficking and HAP1 is proposed to link HTT to motor proteins and/or transport cargos. Seems to play a role in vesicular transport within neurons and axons such as from early endosomes to late endocytic compartments and to promote neurite outgrowth. The vesicular transport function via associati [...] 
107	HGF	9606.ENSP00000222390	HGF	Hepatocyte growth factor; Potent mitogen for mature parenchymal hepatocyte cells, seems to be a hepatotrophic factor, and acts as a growth factor for a broad spectrum of tissues and cell types. Activating ligand for the receptor tyrosine kinase MET by binding to it and promoting its dimerization; Deafness associated genes
108	HGS	9606.ENSP00000331201	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate; Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin-coated regions. Involved in down- regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (E [...] 
109	HIF1A	9606.ENSP00000437955	HIF1A	Hypoxia-inducible factor 1-alpha; Functions as a master transcriptional regulator of the adaptive response to hypoxia. Under hypoxic conditions, activates the transcription of over 40 genes, including erythropoietin, glucose transporters, glycolytic enzymes, vascular endothelial growth factor, HILPDA, and other genes whose protein products increase oxygen delivery or facilitate metabolic adaptation to hypoxia. Plays an essential role in embryonic vascularization, tumor angiogenesis and pathophysiology of ischemic disease. Binds to core DNA sequence 5'-[AG]CGTG-3' within the hypoxia res [...] 
110	HMGB1	9606.ENSP00000345347	HMGB1	High mobility group protein B1; Multifunctional redox sensitive protein with various roles in different cellular compartments. In the nucleus is one of the major chromatin-associated non-histone proteins and acts as a DNA chaperone involved in replication, transcription, chromatin remodeling, V(D)J recombination, DNA repair and genome stability. Proposed to be an universal biosensor for nucleic acids. Promotes host inflammatory response to sterile and infectious signals and is involved in the coordination and integration of innate and adaptive immune responses. In the cytoplasm functio [...] 
111	HMOX1	9606.ENSP00000216117	HMOX1	Heme oxygenase 1; Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where senescent erythrocytes are sequestrated and destroyed. Exhibits cytoprotective effects since excess of free heme sensitizes cells to undergo apoptosis
112	HSP90AA1	9606.ENSP00000335153	HSP90AA1	Heat shock protein HSP 90-alpha; Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. Undergoes a functional cycle that is linked to its ATPase activity which is essential for its chaperone activity. This cycle probably induces conformational changes in the client proteins, thereby causing their activation. Interacts dynamically with various co-chaperones that modulate its substrate recognition, ATPase cycle and chaperone function. Engages with a ra [...] 
113	HSPA8	9606.ENSP00000432083	HSPA8	Heat shock cognate 71 kDa protein; Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, ATP hydrolysis a [...] 
114	HSPB1	9606.ENSP00000248553	HSPB1	Heat shock protein beta-1; Small heat shock protein which functions as a molecular chaperone probably maintaining denatured proteins in a folding- competent state. Plays a role in stress resistance and actin organization. Through its molecular chaperone activity may regulate numerous biological processes including the phosphorylation and the axonal transport of neurofilament proteins
115	IFI16	9606.ENSP00000357113	IFI16	Gamma-interferon-inducible protein 16; Binds double-stranded DNA. Binds preferentially to supercoiled DNA and cruciform DNA structures. Seems to be involved in transcriptional regulation. May function as a transcriptional repressor. Could have a role in the regulation of hematopoietic differentiation through activation of unknown target genes. Controls cellular proliferation by modulating the functions of cell cycle regulatory factors including p53/TP53 and the retinoblastoma protein. May be involved in TP53-mediated transcriptional activation by enhancing TP53 sequence-specific DNA bi [...] 
116	IFNG	9606.ENSP00000229135	IFNG	Interferon gamma; Produced by lymphocytes activated by specific antigens or mitogens. IFN-gamma, in addition to having antiviral activity, has important immunoregulatory functions. It is a potent activator of macrophages, it has antiproliferative effects on transformed cells and it can potentiate the antiviral and antitumor effects of the type I interferons; Belongs to the type II (or gamma) interferon family
117	IL10	9606.ENSP00000412237	IL10	Interleukin-10; Inhibits the synthesis of a number of cytokines, including IFN-gamma, IL-2, IL-3, TNF and GM-CSF produced by activated macrophages and by helper T-cells; Belongs to the IL-10 family
118	IL4	9606.ENSP00000231449	IL4	Interleukin-4; Participates in at least several B-cell activation processes as well as of other cell types. It is a costimulator of DNA-synthesis. It induces the expression of class II MHC molecules on resting B-cells. It enhances both secretion and cell surface expression of IgE and IgG1. It also regulates the expression of the low affinity Fc receptor for IgE (CD23) on both lymphocytes and monocytes. Positively regulates IL31RA expression in macrophages (By similarity); Interleukins
119	ITGB4	9606.ENSP00000200181	ITGB4	Integrin beta-4; Integrin alpha-6/beta-4 is a receptor for laminin. Plays a critical structural role in the hemidesmosome of epithelial cells. Is required for the regulation of keratinocyte polarity and motility. ITGA6:ITGB4 binds to NRG1 (via EGF domain) and this binding is essential for NRG1-ERBB signaling. ITGA6:ITGB4 binds to IGF1 and this binding is essential for IGF1 signaling
120	ITPR1	9606.ENSP00000306253	ITPR1	Inositol 1,4,5-trisphosphate receptor type 1; Intracellular channel that mediates calcium release from the endoplasmic reticulum following stimulation by inositol 1,4,5- trisphosphate. Involved in the regulation of epithelial secretion of electrolytes and fluid through the interaction with AHCYL1 (By similarity). Plays a role in ER stress-induced apoptosis. Cytoplasmic calcium released from the ER triggers apoptosis by the activation of CaM kinase II, eventually leading to the activation of downstream apoptosis pathways (By similarity); Inositol 1,4,5-triphosphate receptors
121	IL3	9606.ENSP00000296870	IL3	Interleukin-3; Granulocyte/macrophage colony-stimulating factors are cytokines that act in hematopoiesis by controlling the production, differentiation, and function of 2 related white cell populations of the blood, the granulocytes and the monocytes-macrophages; Interleukins
122	KAT5	9606.ENSP00000340330	KAT5	Histone acetyltransferase KAT5; Catalytic subunit of the NuA4 histone acetyltransferase complex which is involved in transcriptional activation of select genes principally by acetylation of nucleosomal histones H4 and H2A. This modification may both alter nucleosome-DNA interactions and promote interaction of the modified histones with other proteins which positively regulate transcription. This complex may be required for the activation of transcriptional programs associated with oncogene and proto-oncogene mediated growth induction, tumor suppressor mediated growth arrest and replica [...] 
123	KDR	9606.ENSP00000263923	KDR	Vascular endothelial growth factor receptor 2; Tyrosine-protein kinase that acts as a cell-surface receptor for VEGFA, VEGFC and VEGFD. Plays an essential role in the regulation of angiogenesis, vascular development, vascular permeability, and embryonic hematopoiesis. Promotes proliferation, survival, migration and differentiation of endothelial cells. Promotes reorganization of the actin cytoskeleton. Isoforms lacking a transmembrane domain, such as isoform 2 and isoform 3, may function as decoy receptors for VEGFA, VEGFC and/or VEGFD. Isoform 2 plays an important role as negative reg [...] 
124	KEAP1	9606.ENSP00000171111	KEAP1	Kelch-like ECH-associated protein 1; Acts as a substrate adapter protein for the E3 ubiquitin ligase complex formed by CUL3 and RBX1 and targets NFE2L2/NRF2 for ubiquitination and degradation by the proteasome, thus resulting in the suppression of its transcriptional activity and the repression of antioxidant response element-mediated detoxifying enzyme gene expression. Retains NFE2L2/NRF2 and may also retain BPTF in the cytosol. Targets PGAM5 for ubiquitination and degradation by the proteasome; BTB domain containing
125	KLHL22	9606.ENSP00000331682	KLHL22	Kelch-like protein 22; Substrate-specific adapter of a BCR (BTB-CUL3-RBX1) E3 ubiquitin ligase complex required for chromosome alignment and localization of PLK1 at kinetochores. The BCR(KLHL22) ubiquitin ligase complex mediates monoubiquitination of PLK1, leading to PLK1 dissociation from phosphoreceptor proteins and subsequent removal from kinetochores, allowing silencing of the spindle assembly checkpoint (SAC) and chromosome segregation. Monoubiquitination of PLK1 does not lead to PLK1 degradation; BTB domain containing
126	LAMP2	9606.ENSP00000408411	LAMP2	Lysosome-associated membrane glycoprotein 2; Plays an important role in chaperone-mediated autophagy, a process that mediates lysosomal degradation of proteins in response to various stresses and as part of the normal turnover of proteins with a long biological half-live. Functions by binding target proteins, such as GAPDH and MLLT11, and targeting them for lysosomal degradation. Plays a role in lysosomal protein degradation in response to starvation (By similarity). Required for the fusion of autophagosomes with lysosomes during autophagy. Cells that lack LAMP2 express normal levels o [...] 
127	LAMTOR2	9606.ENSP00000357288	LAMTOR2	Ragulator complex protein LAMTOR2; As part of the Ragulator complex it is involved in amino acid sensing and activation of mTORC1, a signaling complex promoting cell growth in response to growth factors, energy levels, and amino acids. Activated by amino acids through a mechanism involving the lysosomal V-ATPase, the Ragulator functions as a guanine nucleotide exchange factor activating the small GTPases Rag. Activated Ragulator and Rag GTPases function as a scaffold recruiting mTORC1 to lysosomes where it is in turn activated. Adapter protein that enhances the efficiency of the MAP ki [...] 
128	LAMTOR4	9606.ENSP00000343118	LAMTOR4	Ragulator complex protein LAMTOR4; As part of the Ragulator complex it is involved in amino acid sensing and activation of mTORC1, a signaling complex promoting cell growth in response to growth factors, energy levels, and amino acids. Activated by amino acids through a mechanism involving the lysosomal V-ATPase, the Ragulator functions as a guanine nucleotide exchange factor activating the small GTPases Rag. Activated Ragulator and Rag GTPases function as a scaffold recruiting mTORC1 to lysosomes where it is in turn activated; Belongs to the LAMTOR4 family
129	LAMTOR5	9606.ENSP00000256644	LAMTOR5	Ragulator complex protein LAMTOR5; As part of the Ragulator complex it is involved in amino acid sensing and activation of mTORC1, a signaling complex promoting cell growth in response to growth factors, energy levels, and amino acids. Activated by amino acids through a mechanism involving the lysosomal V-ATPase, the Ragulator functions as a guanine nucleotide exchange factor activating the small GTPases Rag. Activated Ragulator and Rag GTPases function as a scaffold recruiting mTORC1 to lysosomes where it is in turn activated. When complexed to BIRC5, interferes with apoptosome assemb [...] 
130	LEP	9606.ENSP00000312652	LEP	Leptin; Key player in the regulation of energy balance and body weight control. Once released into the circulation, has central and peripheral effects by binding LEPR, found in many tissues, which results in the activation of several major signaling pathways. In the hypothalamus, acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones. In the periphery, increases basal met [...] 
131	LEPR	9606.ENSP00000330393	LEPR	Leptin receptor; Receptor for hormone LEP/leptin (Probable). On ligand binding, mediates LEP central and peripheral effects through the activation of different signaling pathways such as JAK2/STAT3 and MAPK cascade/FOS. In the hypothalamus, LEP acts as an appetite-regulating factor that induces a decrease in food intake and an increase in energy consumption by inducing anorexinogenic factors and suppressing orexigenic neuropeptides, also regulates bone mass and secretion of hypothalamo-pituitary-adrenal hormones (By similarity). In the periphery, increases basal metabolism, influences  [...] 
132	LIX1	9606.ENSP00000274382	LIX1	Protein limb expression 1 homolog; Limb and CNS expressed 1; Belongs to the LIX1 family
133	LRRK2	9606.ENSP00000298910	LRRK2	Leucine-rich repeat serine/threonine-protein kinase 2; Positively regulates autophagy through a calcium- dependent activation of the CaMKK/AMPK signaling pathway. The process involves activation of nicotinic acid adenine dinucleotide phosphate (NAADP) receptors, increase in lysosomal pH, and calcium release from lysosomes. Together with RAB29, plays a role in the retrograde trafficking pathway for recycling proteins, such as mannose 6 phosphate receptor (M6PR), between lysosomes and the Golgi apparatus in a retromer-dependent manner. Regulates neuronal process morphology in the intact  [...] 
134	LGALS8	9606.ENSP00000435460	LGALS8	Galectin 8; Galectins
135	MAP1LC3A	9606.ENSP00000363970	MAP1LC3A	Microtubule-associated proteins 1A/1B light chain 3A; Ubiquitin-like modifier involved in formation of autophagosomal vacuoles (autophagosomes). Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation; Autophagy related
136	MAP1LC3B	9606.ENSP00000268607	MAP1LC3B	Microtubule-associated proteins 1A/1B light chain 3B; Ubiquitin-like modifier involved in formation of autophagosomal vacuoles (autophagosomes). Plays a role in mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation. Promotes primary ciliogenesis by removing OFD1 from centriolar satellit [...] 
137	MAP1LC3B2	9606.ENSP00000450524	MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2; Ubiquitin-like modifier involved in formation of autophagosomal vacuoles (autophagosomes). Plays a role in mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. Whereas LC3s are involved in elongation of the phagophore membrane, the GABARAP/GATE-16 subfamily is essential for a later stage in autophagosome maturation (By similarity); Belongs to the ATG8 family
138	MAP3K7	9606.ENSP00000358335	MAP3K7	Mitogen-activated protein kinase kinase kinase 7; Serine/threonine kinase which acts as an essential component of the MAP kinase signal transduction pathway. Plays an important role in the cascades of cellular responses evoked by changes in the environment. Mediates signal transduction of TRAF6, various cytokines including interleukin-1 (IL-1), transforming growth factor-beta (TGFB), TGFB-related factors like BMP2 and BMP4, toll-like receptors (TLR), tumor necrosis factor receptor CD40 and B-cell receptor (BCR). Ceramides are also able to activate MAP3K7/TAK1. Once activated, acts as a [...] 
139	MAPK8	9606.ENSP00000378974	MAPK8	Mitogen-activated protein kinase 8; Serine/threonine-protein kinase involved in various processes such as cell proliferation, differentiation, migration, transformation and programmed cell death. Extracellular stimuli such as proinflammatory cytokines or physical stress stimulate the stress-activated protein kinase/c-Jun N-terminal kinase (SAP/JNK) signaling pathway. In this cascade, two dual specificity kinases MAP2K4/MKK4 and MAP2K7/MKK7 phosphorylate and activate MAPK8/JNK1. In turn, MAPK8/JNK1 phosphorylates a number of transcription factors, primarily components of AP-1 such as JU [...] 
140	MCL1	9606.ENSP00000358022	MCL1	Induced myeloid leukemia cell differentiation protein Mcl-1; Involved in the regulation of apoptosis versus cell survival, and in the maintenance of viability but not of proliferation. Mediates its effects by interactions with a number of other regulators of apoptosis. Isoform 1 inhibits apoptosis. Isoform 2 promotes apoptosis; Belongs to the Bcl-2 family
141	MET	9606.ENSP00000317272	MET	Hepatocyte growth factor receptor; Receptor tyrosine kinase that transduces signals from the extracellular matrix into the cytoplasm by binding to hepatocyte growth factor/HGF ligand. Regulates many physiological processes including proliferation, scattering, morphogenesis and survival. Ligand binding at the cell surface induces autophosphorylation of MET on its intracellular domain that provides docking sites for downstream signaling molecules. Following activation by ligand, interacts with the PI3-kinase subunit PIK3R1, PLCG1, SRC, GRB2, STAT3 or the adapter GAB1. Recruitment of thes [...] 
142	MFN1	9606.ENSP00000420617	MFN1	Mitofusin-1; Mitochondrial outer membrane GTPase that mediates mitochondrial clustering and fusion. Membrane clustering requires GTPase activity. It may involve a major rearrangement of the coiled coil domains. Mitochondria are highly dynamic organelles, and their morphology is determined by the equilibrium between mitochondrial fusion and fission events. Overexpression induces the formation of mitochondrial networks (in vitro). Has low GTPase activity
143	MFN2	9606.ENSP00000235329	MFN2	Mitofusin-2; Mitochondrial outer membrane GTPase that mediates mitochondrial clustering and fusion. Mitochondria are highly dynamic organelles, and their morphology is determined by the equilibrium between mitochondrial fusion and fission events. Overexpression induces the formation of mitochondrial networks. Membrane clustering requires GTPase activity and may involve a major rearrangement of the coiled coil domains (Probable). Plays a central role in mitochondrial metabolism and may be associated with obesity and/or apoptosis processes (By similarity). Plays an important role in the  [...] 
144	MID2	9606.ENSP00000262843	MID2	Probable E3 ubiquitin-protein ligase MID2; May play a role in microtubule stabilization; Belongs to the TRIM/RBCC family
